sample	name	class
SRS1758221	dog_shit	hybrid
SRS1760324	dog_shit_1	hybrid
SRS4167901	dogwalker	-
SRS4169637	dogwalker_1	-
SRS1431978	dog_walker	hybrid
SRS1758072	dog_walker_1	hybrid
SRS1758212	dog_walker_2	hybrid
SRS1760255	dog_walker_3	hybrid
SRS4167652	dog_walker_4	-
SRS1758434	dog_walker_og	hybrid
SRS4169415	dogwalker_og	-
SRS4167731	dolato	-
P2_D06_M_0042	domina_haze	hybrid
SRS4168005	don_carlos	-
SRS4169578	dosi_do	-
SRS4169679	dosi_do_1	-
SRS4167817	dosidos	-
SRS4169607	dosidos_1	-
SRS4167212	dosiface	-
SRS1758104	double_dream	hybrid
SRS4167157	double_dutch_dream	-
SRS4167530	double_lemon_cheese_cake	-
SRS4167201	double_og_sour_scout_12	-
SRS4167605	dragon_snacks	-
SRS4168061	dream_beaver_8	-
SRS1758002	dream_queen	hybrid
SRS1758032	dream_queen_1	hybrid
SRS1758176	dream_queen_2	hybrid
SRS1760296	dream_queen_3	hybrid
SRS4167552	dream_queen_4	-
SRS4167931	dream_queen_5	-
SRS4169449	dream_queen_6	-
SRS4169490	dream_queen_7	-
P2_A05_M_0005	dr_grinspoon	sativa
P2_C06_M_0030	dr_grinspoon_1	sativa
SRS4167461	drivers_lane	-
SRS4167910	drog	-
SRS4167729	duck_foot__wally_web	-
SRS4167770	durango_lemon_purp	-
SRS4167750	durban	-
SRS4167285	durban_lime	-
SRS1757920	durban_orange	sativa
P2_E10_M_0058	durban_poison	sativa
SRS1362435	durban_poison_1	sativa
SRS1362452	durban_poison_2	sativa
SRS1757983	durban_poison_3	sativa
SRS1758004	durban_poison_4	sativa
SRS1758087	durban_poison_5	sativa
SRS1758214	durban_poison_6	sativa
SRS1758424	durban_poison_7	sativa
SRS1758481	durban_poison_8	sativa
SRS1759440	durban_poison_9	sativa
SRS4167532	durban_poison_10	-
SRS4167587	durban_poison_11	-
SRS4167876	durban_poison_12	-
SRS4169596	durban_poison_13	-
SRS4167288	durban_sherbet	-
SRS4167341	durban_x_trainwreck	-
SRS4167680	dutch_hawaiian	-
SRS1758180	dutch_treat	hybrid
SRS1760258	dutch_treat_1	hybrid
SRS1760275	dutch_treat_2	hybrid
SRS4167182	dutch_treat_3	-
SRS4169532	dutch_treat_4	-
SRS4169617	dutch_treat_5	-
SRS4168067	dutch_treat_6	-
SRS4167162	eagle_scout_cookies	-
SRS4167357	early_og	-
SRS1760311	earth_shaker_og	hybrid
SRS1758140	east_coast_sour_diesel	sativa
SRS4169540	east_coast_sour_diesel_1	-
SRS1757946	east_coast_sour_diesel_a	sativa
SRS1431839	easy_sativa	sativa
SRS4169351	ebola_7	-
SRS4169527	ebola_7_1	-
SRS4167992	ecuador	-
SRS4167771	electric_lady	-
SRS1758120	electric_lemonade	unknown
SRS4167574	electric_lemon_g	-
SRS4169559	el_electric_lemon	-
P2_C03_M_0027	el_nino	unknown
SRS1760349	el_nino_1	hybrid
SRS4167338	elvis	-
SRS4167293	emerald_cup_og	-
SRS4168073	emeraldmask	-
SRS4167921	epic_koala	-
SRS4167377	erez	-
SRS4169390	erie_cascade_og	-
SRS1758306	ethiopian_1	sativa
SRS1758468	ethiopian_4	sativa
SRS4169733	ethos_black_fire_f_1_cupcut	-
SRS4169373	ethos_black_fire_f_2_male	-
SRS4169403	ethos_citral_skunk_rbx1	-
SRS4167470	ethos_mandarin_temple_f1	-
SRS4169525	ethos_snowball_r1	-
SRS4169732	ethos_sour_jack	-
SRS4167469	ethos_temple_kush_f1_m_a_line	-
SRS4169623	e_t_special	-
SRS1362428	eurooil_2	hemp
P2_C07_M_0031	exodus_cheese	hybrid
SRS1431831	exodus_cheese_1	hybrid
SRS4167669	exodus_cheese_2	-
SRS1758053	exodus_kush	unknown
SRS4169800	extreme_cream	-
SRS4167546	ezekiel_1	-
SRS4167831	ezekiel_2	-
SRS1757977	f-16	unknown
SRS1757999	f2	unknown
SRS4167687	faceoff_x_asd_blue_fire_1	-
SRS1758372	faith	unknown
SRS4167190	farm	-
SRS4167919	farnorcal_farms_purple_kush	-
P1_D03_H_0020_1	fedora_17	hemp
P1_A10_H_0005_2	fedora_19	hemp
P1_B01_H_0007_1	fedrina	hemp
SRS1362431	feral_kansas	hemp
SRS1360599	feral_nebraska_1	hemp
SRS1431975	feral_nebraska_2	hemp
SRS1360598	feral_nebraska_3	hemp
P1_A04_H_0002_2	ferimon	hemp
SRS1758512	fertodi_hungary	unknown
SRS1758528	fertodi_hungary_1	unknown
SRS1758508	finola	hemp
SRS1758510	finola_1	hemp
SRS1758520	finola_2	hemp
SRS4167830	fire_calyx	-
SRS4167551	fire_og	-
SRS1758017	fire_out	unknown
SRS1758539	fishers_cbd	unknown
SRS4169650	fks_afgoo	-
SRS4169644	fks_berry_good	-
SRS4169522	fks_blue_genie	-
SRS4169777	fks_cbd_critical_mass	-
SRS4169648	fks_fruit_cocktail	-
SRS4169519	fks_happy_hippo	-
SRS4169643	fks_just_peachy	-
SRS4169646	fks_lemon_aide	-
SRS4169653	fks_lemon_sour_diesel	-
SRS4169649	fks_lights_out	-
SRS4169652	fks_lost_in_space_1	-
SRS4169651	fks_oregon_kush	-
SRS4167319	fks_sj	-
SRS4169520	fks_snap_dragon	-
SRS4167320	fks_sour_deisel	-
SRS4169647	fks_sunrise	-
SRS1107948	flo	hybrid
SRS1431939	flo_1	hybrid
SRS1758139	flo_2	hybrid
SRS1758473	flo_3	hybrid
SRS4167175	flo_4	-
SRS4167775	flo_5	-
SRS1758386	flo-rida	unknown
SRS4167189	flower	-
SRS4167269	flower_stem	-
SRS1758313	fog	unknown
SRS1760323	fog_1	unknown
SRS4169551	forbidden_fruit	-
SRS4169599	forbidden_fruit_bone_thugs	-
SRS1758083	fortune_cookie	hybrid
SRS4167856	fortune_cookie_1	-
SRS4167952	forum_cookies	-
SRS1758269	forum_cut_cookies	unknown
SRS4169401	frank_n_fruit	-
SRS4167505	franks_gift	-
SRS4167647	franks_gift_1	-
SRS4167312	freakshow	-
SRS4169723	freedom	-
SRS1758400	frisco_og	unknown
SRS4169418	frog_one_1	-
SRS4169419	frog_one_2	-
SRS4169420	frog_one_3	-
SRS4167414	frosting	-
SRS4167793	frosting_1	-
SRS4169438	fruit_loops	-
SRS4167769	fruitloopz	-
SRS4167371	fruit_punch	-
SRS4169553	fucking_incredible	-
SRS1757968	fuku_no1	unknown
SRS1758029	fuku_no4	unknown
P1_A11_H_0006_1	futura_77	hemp
SRS4167832	futureberries	-
SRS1362447	g13	indica
SRS4167232	g_13	-
SRS4169712	g_13_1	-
SRS1431840	g13_haze-31	hybrid
SRS4167249	g13_x_skunk	-
SRS4167866	g13_x_skunk_1	-
SRS4167561	g617	-
SRS4167322	g8817	-
SRS1760378	galactic_jack	sativa
SRS1758500	galakc_shun	unknown
SRS1759450	gambia	unknown
SRS4169406	gargamel	-
SRS4167941	g_cut	-
SRS4169466	g_cut_1	-
SRS4168025	gdp_421	-
SRS4167495	gelato	-
SRS4167545	gelato_1	-
SRS4169638	gelato_2	-
SRS4167790	gelato_33	-
SRS4169745	gelato_33_1	-
SRS4169677	gelato_33_larry_bird_cut	-
SRS4167204	gelatto	-
SRS4169655	gello	-
SRS4167197	george_washington	-
SRS1759445	german_hemp	hemp
SRS4167245	g_funk	-
SRS4167538	gg_	-
SRS4169681	gg_12	-
SRS4167395	gg4	-
SRS4167526	gg4_1	-
SRS4167900	gg4_2	-
SRS4167812	gg_4	-
SRS4169592	gg4og_1_massive	-
SRS4169589	gg4og_2_massive	-
SRS4169590	gg4og_3_massive	-
SRS4169399	gg4_s1	-
SRS4167267	gg_6	-
SRS4169573	ggs1	-
SRS1758501	ghana	unknown
P2_C10_M_0034	gh_cheese	hybrid
SRS1760327	ghost	unknown
SRS1758265	ghost_dog	unknown
SRS4169582	ghost_kronik	-
SRS4169619	ghost_og	-
SRS4167432	ghost_o_g_	-
SRS1107949	ghosttrainhaze10	sativa
SRS1431886	gin	unknown
SRS1431970	gin_1	unknown
SRS1760365	ginger_kid	unknown
SRS4167528	girl_scout_cookie	hybrid
SRS4167909	girl_scout_cookie_1	hybrid
SRS1431916	girl_scout_cookie_num6	hybrid
SRS1107947	girl_scout_cookies	hybrid
SRS1360611	girl_scout_cookies_1	hybrid
SRS1431875	girl_scout_cookies_2	hybrid
SRS1431893	girl_scout_cookies_3	hybrid
SRS1758042	girl_scout_cookies_4	hybrid
SRS1758050	girl_scout_cookies_5	hybrid
SRS1758390	girl_scout_cookies_6	hybrid
SRS1760292	girl_scout_cookies_7	hybrid
SRS1760330	girl_scout_cookies_8	hybrid
SRS4167998	girl_scout_cookies_9	hybrid
SRS4168041	girl_scout_cookies_10	hybrid
SRS4169404	girl_scout_cookies_11	hybrid
SRS4169694	girl_scout_cookies_12	hybrid
SRS4169769	girl_scout_cookies_13	hybrid
SRS4169781	girl_scout_cookies_14	hybrid
SRS4168004	girl_scout_cookies_	hybrid
SRS4169357	girl_scout_cookies_forum	hybrid
SRS4167811	girl_scout_cookies_forum_cut	hybrid
SRS4167950	girl_scout_cookies_forum_cut_1	hybrid
SRS1758234	girl_scout_cookies_maybe	hybrid
SRS1758312	girl_scout_cookies_mint	hybrid
SRS4167183	girl_scout_cookie_thin_mints	hybrid
SRS4169635	girl_scout_forum_cut	hybrid
SRS4167937	girls_scout_cookies_x_ghost_og	hybrid
SRS1757996	glacier_goo	unknown
SRS1431861	glass_slipper	hybrid
SRS4167522	glory_daze	-
SRS4167833	glucifer	-
SRS4167663	gluechee	-
SRS4167426	glue_chee_c	-
SRS4167918	gmo	-
SRS4167748	gnome_walker	-
SRS1431862	goast_train_haze	sativa
SRS4167177	gobbly_goo	-
SRS4167739	god_1	-
SRS1757986	god_bud	indica
SRS1758045	god_bud_1	indica
SRS1758008	gods_gift	indica
SRS1758047	gods_gift_1	indica
SRS1758096	gods_gift_2	indica
SRS4167806	gods_gift_3	-
SRS1759502	gogi_glue	unknown
SRS4167158	goji_berry	-
SRS4167607	goji_dc	-
SRS4169356	goji_og	-
SRS4167572	gold_colombian	-
SRS4167573	gold_colombian_1	-
SRS4167838	gold_colombian_2	-
SRS4167984	gold_colombian_3	-
SRS4167988	gold_colombian_4	-
SRS4169386	gold_colombian_x_michoacan_x_mazari_shiriff_78_may_valley_colombian_gold	-
SRS4167719	goldenback_gorilla	-
SRS1431872	golden_boat	unknown
SRS4167417	golden_calyx	-
SRS1760356	golden_geek	unknown
SRS1360600	golden_goat	indica
SRS1431902	golden_goat_1	hybrid
SRS1757922	golden_goat_2	indica
SRS4168006	golden_kush	-
SRS1759497	golden_pineapple	hybrid
SRS4167233	golden_pineapple_1	-
SRS4167653	golden_pineapple_2	-
SRS4169500	golden_pineapple_3	-
SRS4168060	golden_pineapple_4	-
SRS4167800	golden_pineapple_si_3	-
SRS4167258	golden_state_cookies	-
SRS4169720	golden_tornado	-
SRS4167404	golden_voice	-
SRS4167863	golden_x_78_affie	-
SRS4167196	gold_rush_8	-
SRS4167804	gorilla_cookies	-
SRS1758362	gorilla_glue_no4	unknown
SRS1759454	gorilla_glue_no4_1	unknown
SRS1759457	gorilla_glue_no4_2	unknown
SRS1759458	gorilla_glue_no4_3	unknown
SRS1759459	gorilla_glue_no4_4	unknown
SRS1759464	gorilla_glue_no4_5	unknown
SRS1759477	gorilla_glue_no4_6	unknown
SRS1759479	gorilla_glue_no4_7	unknown
SRS4168064	gorilla_grapes_4	-
SRS4168000	gorilla_snacks_4	-
SRS4168068	gr13	-
SRS4167678	grafford_kush	-
SRS1107946	grand_daddy_purple	indica
SRS1431954	grand_daddy_purple_1	indica
SRS1758068	grand_daddy_purple_2	indica
SRS1758437	grand_daddy_purple_3	indica
SRS4167266	grand_daddy_purple_4	-
SRS1758106	grand_master_cheese	unknown
SRS4167387	gr_ape	-
SRS1431926	grape_ak-47	hybrid
SRS1362425	grape_ape	indica
SRS1431951	grape_ape_1	indica
SRS1758188	grape_ape_2	indica
SRS1758311	grape_ape_3	indica
SRS1758421	grape_ape_4	indica
SRS4167497	grape_ape_5	-
SRS4168051	grape_calyx	-
SRS4167504	grape_drank	-
SRS1431964	grapefruit	sativa
SRS4169595	grapefruit_1	-
SRS1431871	grapefruit_diesel	hybrid
SRS1758121	grape_god_a	hybrid
SRS4167785	grape_headband	-
SRS4167407	grape_krush	-
SRS1431892	grape_kush	hybrid
SRS1431966	grape_kush_1	hybrid
SRS1431945	grape_romulan	unknown
SRS4169414	grass_valley_girl	-
SRS4169566	grateful_dawg	-
SRS4169478	grease_monkey_2_0_aka_boss_frost	-
P2_D01_M_0037	great_whiteshark	hybrid
SRS1760287	green_corn	unknown
SRS1102338	greencrack	sativa
SRS1107957	greencrack_1	sativa
SRS1431930	green_crack	sativa
SRS1758208	green_crack_1	sativa
SRS4167326	green_crack_2	-
SRS4167394	green_crack_3	-
SRS4167582	green_crack_4	-
SRS4167763	green_crack_5	-
SRS4167887	green_crack_6	-
SRS4169695	green_crack_7	-
SRS4169537	green_kandy_crack	-
SRS4169391	green_lantern	-
SRS4167960	green_leaf_flyyyyaaaa	-
SRS1431827	green_mandarine	unknown
SRS4169485	green_mountain	-
SRS1431818	green_poison	indica
SRS4169780	green_ribbon	-
SRS4168058	grunk	-
SRS4167170	gs_holy	-
SRS1758307	guatemala_quetzalita	unknown
SRS3289199	guava_chem	unknown
SRS4167484	guava_ix_2	hybrid
SRS4167507	guava_jelly	-
SRS4169534	guerrero_mexican	-
SRS4169565	guido	-
SRS1431907	guido_og	indica
SRS4167192	gulzar_afghanica_1	-
SRS4167511	gulzar_afghanica_2	-
SRS4167519	gulzar_afghanica_3	-
SRS4167510	gummy_bear	-
SRS4169714	gut_buster	-
SRS1431843	h11	unknown
SRS1431814	h5	unknown
SRS4169790	h_a_	-
SRS4167667	hades_og	-
SRS1759475	hael_no2	unknown
SRS4169354	hagalolo	-
SRS1758353	haleighs_hope	hybrid
SRS4169558	haleys_comet	-
SRS1967049	halfy	unknown
SRS1759496	hapa_huli	unknown
P2_E12_M_0060	happy_face	hybrid
SRS1758019	harlee_tsu	hybrid
SRS1362446	harlequin	hybrid
SRS1757919	harlequin_1	hybrid
SRS1757970	harlequin_2	hybrid
SRS1758127	harlequin_3	hybrid
SRS1758291	harlequin_4	hybrid
SRS1760252	harlequin_5	hybrid
SRS1760266	harlequin_6	hybrid
SRS1760281	harlequin_7	hybrid
SRS1760355	harlequin_8	hybrid
SRS4167278	harlequin_9	-
SRS4169684	harlequinn_granddaddy_purp	-
SRS1758011	harlequinn_no1	hybrid
SRS4167559	harletsu	-
SRS4167279	harle_tsu	-
SRS4167584	harle_tsu_1	-
SRS1758138	harle-tsu	hybrid
SRS4169611	harley_tsu	-
SRS4167970	harley_wreck	-
P2_A06_M_0006	hash_passion	indica
SRS1431848	hash_plant	indica
SRS4167342	hash_plant_1	-
SRS4167208	hash_plant_haze	-
SRS1362451	hawaiian	sativa
SRS1758079	hawaiian_1	sativa
SRS1759482	hawaiian_2	sativa
SRS4167995	hawaiian_bloodline	-
SRS1760261	hawaiian_dutch	sativa
SRS4167813	hawaiian_legacy	-
P2_C09_M_0033	hawaiian_snow	hybrid
SRS4167422	hawaiian_trinity	-
SRS4167824	hazy_girl	-
SRS4169613	hazy_girl_1	-
SRS4169501	hazy_kush	-
SRS1760333	hazy_train	unknown
SRS4167807	h_c__llc_1	-
SRS1431859	headband	hybrid
SRS1757940	headband_1	hybrid
SRS1758172	headband_2	hybrid
SRS1760274	headband_3	hybrid
SRS1760372	headband_4	hybrid
SRS4167231	headband_5	-
SRS4167324	headband_6	-
SRS4167430	headband_7	-
SRS4169614	headband_8	-
SRS1758136	head_band	hybrid
SRS4167253	head_band_1	-
SRS4169451	head_band_2	-
SRS1967047	headband1	hybrid
SRS4167999	head_dog_7	-
SRS4169384	heavy_ooey_gooey	-
SRS1758133	heisenberg	sativa
SRS4169728	hellenkeller	-
SRS1758152	hell_hound	unknown
SRS1758324	hemp_cultivar_nlh	hemp
SRS4167305	herijuana_cross	-
SRS4167463	hifi_chemdog_kush	-
SRS4167964	highland_columbian	-
SRS1758054	highland_oaxacan	unknown
SRS4167848	highland_thai	-
P2_D03_M_0039	himalayan_gold	hybrid
SRS4167877	himalayas	-
SRS1362437	hindu_kush	indica
SRS1758292	hindu_kush_1	indica
SRS4167871	hindu_kush_2	-
SRS4169413	hindu_sun	-
SRS1758215	hippie_crippler	hybrid
SRS1759498	hippie_crippler_1	hybrid
SRS4167547	hippie_crippler_2	-
SRS4169750	hippie_crippler_3	-
SRS1758217	hitman_og	unknown
SRS4167996	hk_x_tl_1	-
SRS1758440	hmong_thailand	unknown
SRS4167708	hog	-
SRS1758490	hokkaido_japan	unknown
SRS1107956	holland1r	unknown
SRS4167418	hollyweed	-
SRS4167346	hollywood_og_kush	-
SRS4167849	holy_crack	-
SRS1431857	holy_grail	hybrid
SRS1431963	holy_grail_1	hybrid
SRS1431884	holy_grail_kush	hybrid
SRS4169392	holy_shit	-
SRS4167307	home_1	-
SRS4167191	home_2	-
SRS1758493	honduras	sativa
SRS4169528	h_rx_breeders_cut	-
SRS4167920	h_s_c__trainwreck_seedling	-
SRS4167308	huckleberries	-
SRS1758027	humboldt_og	unknown
SRS1758165	humboldt_og_1	unknown
SRS4169511	humboldt_o_g__2018	-
SRS1758529	hybrid_krasnodarskii_10_fb_russia	unknown
SRS4167730	icc	-
SRS4167844	ice	-
P2_F03_M_0063	ice_cream	hybrid
SRS1760283	ice_queen	hybrid
SRS1758095	ice_wreck	hybrid
SRS4167564	immortal	-
SRS1758325	india	unknown
SRS1758326	india_1	unknown
SRS1758329	india_2	unknown
SRS1758514	india_3	unknown
SRS4169425	india_4	-
SRS1758513	india_khandwa	unknown
SRS4169709	indiana_bubblegum	-
P2_A07_M_0007	indian_haze_haze_mist_	sativa
SRS1758504	india_vidaypur	unknown
SRS1758204	ingrid	indica
SRS1758456	ingrid_1	indica
SRS1757950	inner_chi	unknown
SRS4169753	insane_candy_kush_1	-
SRS1431904	international_og	unknown
SRS1759446	iowa_feral_hemp	hemp
SRS1758443	isaan_thailand	unknown
P2_B12_M_0024	island_sunshine	hybrid
SRS4167592	island_sweet_skunk	-
SRS4169687	island_view_gold	-
SRS1758413	ivory_hemp	hemp
SRS1431974	j20	unknown
SRS1431973	j28	hemp
SRS1431971	j7	hemp
SRS4167465	jack	-
SRS1431817	jack_47	hybrid
SRS1431876	jack_flash	hybrid
SRS1758238	jack_flash_1	hybrid
SRS1760329	jack_frost	hybrid
P2_E06_M_0054	jack_herer	hybrid
SRS1362441	jack_herer_1	sativa
SRS1431885	jack_herer_2	sativa
SRS1758108	jack_herer_3	sativa
SRS1758227	jack_herer_4	sativa
SRS1758267	jack_herer_5	sativa
SRS1758536	jack_herer_6	sativa
SRS1758541	jack_herer_7	sativa
SRS1967046	jack_herer_8	hybrid
SRS4167161	jack_herer_9	sativa
SRS4167187	jack_herer_10	sativa
SRS4167386	jack_herer_11	sativa
SRS4167453	jack_herer_12	sativa
SRS4167597	jack_herer_13	sativa
SRS4167673	jack_herer_14	sativa
SRS4167682	jack_herer_15	sativa
SRS4168002	jack_herer_16	sativa
SRS4169729	jack_herer_17	sativa
SRS4168074	jack_herer_18	sativa
SRS4167886	jack_herer_19	sativa
SRS1431847	jack_herrer	sativa
SRS1431957	jack_herrer_1	sativa
SRS4167205	jack_of_spades	-
SRS1758184	jack_one-j1	unknown
SRS1757975	jacks_cheese	unknown
SRS4168037	jacks_cleaner	-
SRS4167884	jacks_dream	-
SRS1431851	jack_skellington	sativa
SRS4167788	jacksons_jambo	-
SRS4169690	jack_the_riper_male_2	-
SRS1758065	jack_the_ripper	sativa
SRS4169795	jack_the_ripper_male_1	-
SRS4169711	jaegermeister	-
SRS4169591	jaeger_og_1_massive	-
SRS4169587	jaeger_og_2_massive	-
SRS4169588	jaeger_og_bx1_massive	-
SRS4167220	jagerschnitzel_f1	-
SRS1758385	jagor_og	unknown
SRS1967045	jah	unknown
SRS1758157	jah_goo	indica
SRS4167948	jamaica_ganja	-
SRS1757958	jamaican	sativa
P2_H11_M_0095	jamaican_lambs_bread	sativa
SRS1758534	jamaican_lambsbread_60-70	sativa
SRS4167608	jazz	-
SRS4167553	jazz_cabbage	-
SRS1758074	jelly_bean	unknown
P2_C08_M_0032	jenni	hybrid
SRS1758035	jesus_og	indica
SRS1758317	jesus_og_1	indica
SRS4167420	jmo	-
P2_H08_M_0092	jocelyn	hybrid
SRS1758411	juanita_dogramosa	unknown
SRS1431942	juicy_fruit	hybrid
SRS1758330	juicy_fruit_1	hybrid
SRS4167859	juicy_fruit_2	-
SRS4167938	juicy_fruit_3	-
SRS4167489	jungle_cake	indica
P1_D09_H_0023_1	jus_8	hemp
P1_D05_H_0021_1	k11	hemp
SRS4169610	k3	-
SRS1758075	kaboom	sativa
SRS4169482	kachook	-
SRS4167291	kaleidoscope_a	-
SRS4167290	kaleidoscope_b	-
SRS1758448	kali_21_china	indica
SRS1758486	kalinga_philippines	unknown
P2_C11_M_0035	kalishnikova	hybrid
SRS1102340	kandy_kush	hybrid
SRS1107955	kandy_kush_1	hybrid
SRS1758103	kandy_kush_2	hybrid
SRS1758109	kandy_land	unknown
SRS4168055	kaotic_og_kush	-
SRS1758321	kashmir	unknown
SRS1759489	kashmir_1	unknown
SRS1758226	kashmir_kush	indica
SRS1758259	kashmir_kush_1	indica
SRS4167188	kashmir_kush_2	-
SRS1759486	kauai	unknown
SRS1759437	kauai_aloha	unknown
SRS4167728	kauai_electric	-
SRS1759495	kauai_p_and_g	unknown
SRS1759494	kauai_princess	unknown
SRS1758506	kazakhstan	unknown
SRS1758507	kazakhstan_1	unknown
SRS1758509	kazakhstan_2	unknown
SRS1758519	kazakhstan_3	unknown
SRS1758522	kazakhstan_4	unknown
SRS1758523	kazakhstan_5	unknown
SRS1758535	kazakhstan_6	unknown
SRS1758549	kazakhstan_7	unknown
SRS4167155	kealia_kush	-
SRS4169734	kemosabe_1	-
P2_G04_M_0076	kens_sweet_tooth	hybrid
SRS1758511	kenya_kisumu	unknown
SRS1760321	kepler_22b_kush	unknown
SRS4167723	kerala	-
SRS1758149	key_lime_pie	hybrid
SRS4167416	key_lime_pie_1	-
SRS4169366	key_lime_pie_2	-
SRS4167390	key_lime_poison	-
SRS4167772	khalifa_kush	-
SRS1431845	killer_kush	indica
SRS1431863	king_chem	hybrid
SRS4167957	king_kong	-
P2_A09_M_0009	king_kush	hybrid
P2_C05_M_0029	king_kush_1	hybrid
SRS1431894	king_louie_cookies	unknown
SRS1758408	kings_randsome	unknown
SRS4169473	kiwanda_kush	-
SRS4167259	kku	-
SRS4169698	koala_kush	-
SRS4167402	kokee_kush	-
P1_A06_H_0003_2	kompolti	hemp
SRS1362430	kompolti_1	hemp
SRS1362429	kompolti_2	hemp
SRS1431860	kool_aid_kush	indica
SRS1431920	kosher_kush	indica
SRS1431955	kosher_kush_1	indica
SRS4167429	kosher_kush_2	-
SRS4167516	kosher_kush_3	-
SRS4167898	kosher_kush_4	-
SRS4169784	kosher_kush_5	-
SRS1431888	kosher_kush_num1	indica
SRS4167548	kottonmouth_kush	-
SRS1758393	kracken	unknown
SRS1760322	kryptonite	indica
SRS1362432	kunduz	indica
SRS1758266	kush	unknown
SRS1758461	kush_1	unknown
SRS1757942	kush_co._og_kush	unknown
SRS1758371	kwgs	unknown
SRS1758159	kyle_kushmans_strawberry_cough	unknown
SRS4167917	l2	-
SRS4167867	la_confidental	-
SRS1107954	la_confidential	indica
SRS1758048	la_confidential_1	indica
SRS1758477	la_confidential_2	indica
SRS1760340	la_confidential_3	indica
SRS4167475	la_confidential_4	sativa
P2_G10_M_0082	ladyburn_1974	hybrid
SRS4167163	laffy_taffy	-
SRS1431866	lambo	hybrid
SRS1758111	lambs_bread	sativa
SRS1758160	lambs_bread_1	sativa
SRS4167885	lambs_bread_sour_diesel	-
SRS4167781	lancaster	-
SRS1760309	land_of_smiles	unknown
SRS1758478	lands_end	unknown
SRS1758427	laos	unknown
SRS4167328	la_pure_kush	-
P2_H04_M_0088	la_riena_de_africa	sativa
SRS1431912	larry_og	hybrid
SRS1758052	larry_og_1	hybrid
SRS4167579	larry_og_kush	-
SRS1758038	larrys_dream	unknown
SRS1758414	laspur_gold_pakistan	unknown
SRS4167658	latin_star_sbg	-
SRS1758021	laughing_buddha	sativa
SRS1758203	lavender	indica
SRS1758355	lavender_1	indica
SRS1759503	lavender_2	indica
SRS1431899	l.b.k	unknown
SRS1362450	lebanese	hybrid
SRS1758476	lee_roy_og	indica
SRS1759463	legend	indica
SRS4169752	lemon	-
SRS4168013	lemonade_pcg_cut	-
SRS4169669	lemon_alien	-
SRS4167219	lemon_calyx	-
SRS4167314	lemon_cello_haze	-
SRS4167215	lemon_chiffon	-
SRS1760383	lemon_diesel	hybrid
SRS4169717	lemon_diesel_1	-
SRS1758420	lemon_gpg_kush	unknown
SRS1760298	lemon_haze	sativa
SRS1758081	lemon_jack	sativa
SRS4169488	lemon_kush	-
SRS4167786	lemon_larry	-
SRS4169697	lemon_larry_og	-
SRS4169660	lemon_lights	-
SRS4169539	lemon_mazar	-
SRS4167588	lemon_meringue	-
SRS4167156	lemon_og	-
SRS4167766	lemon_og_1	-
SRS4167228	lemon_og_kush	-
SRS4167746	lemon_sk_88xsk1	-
P2_F07_M_0067	lemon_skunk	hybrid
SRS1431952	lemon_skunk_1	hybrid
SRS1758205	lemon_skunk_2	hybrid
SRS1760291	lemon_skunk_b	hybrid
SRS4167759	lemon_sour_diesel	-
SRS4167951	lemon_sugar_cookie	-
SRS4167260	lemon_sugar_kush	-
SRS4167808	lemon_tiger_lt	-
SRS4167562	lemon_tree	-
SRS4169452	lemon_tree_1	-
SRS1102343	lestergrinspoon	unknown
SRS1107953	lestergrinspoon_1	unknown
SRS1360604	liberty_haze	hybrid
SRS1967044	liberty_haze1	hybrid
SRS4169435	lilack_jack	-
SRS1758085	lily-1	unknown
SRS1758122	lily-2	unknown
SRS1757964	lily-4	unknown
SRS1758483	line_43-178_romania	unknown
SRS4167449	lions_gold	-
SRS1431949	lions_tabernacle	unknown
SRS4167606	lite_me_up	-
SRS4167345	little_berry_foo_foo	-
P1_B05_H_0009_1	lksd_or_lkcsd	hemp
SRS4169486	lock_tight	-
SRS4168042	lodi_dodi	-
SRS4167633	lot_dog	-
SRS4167513	lotus_12	-
SRS4169740	lotus_5	-
SRS1758170	louie_13	unknown
SRS4167335	louis_13th_og_kush	-
SRS4169443	lovelife_haze	-
SRS1362443	low_ryder	hybrid
SRS1431932	lsd	hybrid
SRS1758240	lsd_1	hybrid
SRS1758334	lsd_2	hybrid
SRS4169429	lsd_3	-
SRS4167924	l_s_d	-
SRS4167853	lucid_dream	-
SRS1758375	lucy	hybrid
SRS4167297	lucys_lion	-
SRS4167828	lucys_lion_1	-
SRS4169696	luv_muffin	-
SRS4167662	m_1_000	-
SRS4167518	m11_og	-
SRS4169581	m_80	-
SRS4167284	macchiato	-
SRS4167707	mac_daddy	-
SRS4167596	macob_kush_f1	-
SRS1431905	mad_cow	sativa
SRS4167296	madre_malinche	-
SRS4169491	mad_scientist	-
SRS4168044	magnum_opus	-
SRS4169412	makana_moon	-
SRS1758494	malanje_local_90s_liamba_angola	unknown
SRS1758322	malawi	sativa
SRS1759448	malawi_1	sativa
SRS1759487	malawi_2	sativa
SRS1760289	malawi_3	sativa
SRS4168024	malawi_4	-
SRS1758037	malawi_x_super_skunk	hybrid
SRS1758080	maleficent_conspiracy_kush_no2	unknown
SRS4169584	mamas_cheeze	-
SRS4169735	mamas_chili_bomb	-
SRS1758359	mandarin_sunset	unknown
SRS1760374	mandarin_sunset_1	unknown
SRS4169474	manga_rosa	-
