sample	name	class
SRS4167174	animal_house_og	hybrid
SRS4167799	animal_mints	hybrid
SRS4167752	animal_og	hybrid
SRS4167437	ape_hanger_2	unknown
SRS1758239	apollo_13	hybrid
SRS1431867	appalachian_mad_sun	unknown
SRS1758482	apple_kush	hybrid
SRS4169747	apricot_jelly	hybrid
SRS4169428	arckl_303	unknown
SRS4169775	arcticblue	hybrid
P2_F08_M_0068	arjans_haze_num2	hybrid
P2_G06_M_0078	arjans_haze_num3	hybrid
P2_D02_M_0038	arjans_strawberry_haze	hybrid
P2_G03_M_0075	arjans_ultra_haze_num1	hybrid
SRS4167837	asian_fantasy	sativa
SRS4168015	astral_og	hybrid
SRS4167415	astral_works	hybrid
SRS4167693	at	unknown
P2_A02_M_0002	ata_tundra	indica
P2_D05_M_0041	atomic_haze	hybrid
SRS1760306	atomic_northern_lights	unknown
SRS1431924	a-train	hybrid
SRS1107951	australianbastard	unknown
SRS1362444	auto_ak47	hybrid
SRS1107952	autowidow	unknown
SRS4167478	avidekel	hybrid
SRS1431887	az_star_num1	unknown
SRS1967058	az_star_num2	unknown
SRS1758115	azure_haze	hybrid
SRS1431811	b-1	unknown
SRS1360610	b-5	sativa
SRS4167712	b6_chem_5	hybrid
SRS4167721	baalbek_valley_lebanese	unknown
SRS4167171	bama_china	unknown
SRS1967057	banana	hybrid
SRS1967056	banana2	hybrid
SRS1758097	banana_kush	hybrid
SRS4167789	banana_kush_1	hybrid
SRS4169382	banana_master	hybrid
SRS1758046	banana_og	hybrid
SRS4169497	banana_split	hybrid
SRS4169668	banana_split_1	hybrid
SRS4167636	banana_strawberry	hybrid
SRS4167858	banner	hybrid
SRS1758559	baox	unknown
SRS4167298	baox_1	unknown
SRS4167741	bbb_3	unknown
SRS4169347	bbk	indica
SRS4167399	bc_5	unknown
SRS1431830	bc_hq	unknown
SRS4169348	bd	unknown
SRS4167337	beach_ball	unknown
SRS1758173	beaver_dog	unknown
SRS4167894	beri_cheri	unknown
SRS4167879	berkeley_12	sativa
SRS4167878	berkeley_34	sativa
SRS4167535	berkely	sativa
SRS4168011	bermuda_sour	hybrid
SRS1758380	berry_beard	unknown
SRS1967054	berry_garcia	unknown
SRS1758294	berry_gumboldt_pollen	unknown
SRS4167367	berry_manilow	unknown
SRS1758030	berry_white	indica
SRS1758231	berry_white_1	indica
SRS4167198	berry_white_2	indica
SRS4167482	berry_white_3	indica
SRS4167994	berry_white_4	indica
SRS4168027	best_in_show	unknown
SRS4169460	betty_haze	hybrid
SRS4167351	bg_diesel_05	hybrid
SRS4169385	bg_diesel_2	hybrid
SRS4169395	bg_orange_afghani	hybrid
SRS4167229	bg_skunk_12	hybrid
P1_B09_H_0011_1	bialobrzeskie	hemp
P2_A03_M_0003	big_bang	hybrid
P2_H09_M_0093	big_bang_1	hybrid
P2_A04_M_0004	big_bang_autoflowering_	hybrid
SRS1760320	bigbud_x_white_widow	hybrid
SRS1757953	big_city_lights	unknown
